set_num,name,year,num_parts,theme
7113-1,Tusken Raider Encounter,2002,93,Star Wars
7200-1,Final Duel I,2002,32,Star Wars
7201-1,Final Duel II,2002,26,Star Wars
7204-1,Jedi Defense II,2002,53,Star Wars
7203-1,Jedi Defense I,2002,59,Star Wars
7133-1,Bounty Hunter Pursuit,2002,254,Star Wars
65106-1,Episode II Co-Pack (contains 7103 7113),2002,0,Star Wars
65145-1,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,2002,0,Star Wars
65153-1,Jango Fett's Slave I with Bonus Carrying Case,2002,0,Star Wars
7153-1,Jango Fett's Slave I,2002,360,Star Wars
7152-1,TIE Fighter & Y-wing,2002,411,Star Wars
7119-1,Twin-Pod Cloud Car,2002,118,Star Wars
4195641-1,Star Wars Co-Pack of 7142 and 7152,2002,0,Star Wars
7142-1,X-wing Fighter,2002,273,Star Wars
7139-1,Ewok Attack,2002,121,Star Wars
7163-1,Republic Gunship,2002,697,Star Wars
7143-1,Jedi Starfighter,2002,139,Star Wars
7103-1,Jedi Duel,2002,82,Star Wars
3219-1,TIE Fighter - Mini,2002,12,Star Wars
8011-1,Jango Fett,2002,425,Star Wars
8010-1,Darth Vader,2002,388,Star Wars
8009-1,R2-D2,2002,239,Star Wars
8012-1,Super Battle Droid,2002,378,Star Wars
K720x-1,Story Teller Pack,2002,0,Star Wars
K7204-1,Jedi Adventure Kit,2002,0,Star Wars
65081-1,R2-D2 / C-3PO Droid Collectors Set,2002,1,Star Wars
K7153-1,Episode II Ultimate Action Kit,2002,0,Star Wars
K8008-1,Darth Vader / Stormtrooper Kit,2002,0,Star Wars
