set_num,name,year,num_parts,theme
8088-1,ARC-170 Starfighter,2010,396,Star Wars
8089-1,Hoth Wampa Cave,2010,297,Star Wars
8128-1,Cad Bane's Speeder,2010,317,Star Wars
8092-1,Luke's Landspeeder,2010,163,Star Wars
8093-1,Plo Koon's Jedi Starfighter,2010,175,Star Wars
8095-1,General Grievous' Starfighter,2010,453,Star Wars
8097-1,Slave I,2010,563,Star Wars
8098-1,Clone Turbo Tank,2010,1145,Star Wars
8099-1,Midi-Scale Imperial Star Destroyer,2010,423,Star Wars
30050-1,Republic Attack Shuttle - Mini,2010,54,Star Wars
30051-1,X-wing Fighter - Mini,2010,61,Star Wars
8091-1,Republic Swamp Speeder,2010,175,Star Wars
8087-1,TIE Defender,2010,304,Star Wars
8096-1,Emperor Palpatine's Shuttle,2010,592,Star Wars
8085-1,Freeco Speeder,2010,176,Star Wars
20018-1,AT-AT Walker - Mini,2010,83,Star Wars
8086-1,Droid Tri-Fighter,2010,267,Star Wars
2853835-1,White Boba Fett Figure,2010,5,Star Wars
66368-1,Star Wars Super Pack 3 in 1 (8083 8084 8092),2010,0,Star Wars
66364-1,Star Wars Super Pack 3 in 1 (7749 8083 8084),2010,0,Star Wars
66341-1,Star Wars Super Pack 3 in 1 (8014 8015 8091),2010,0,Star Wars
66366-1,Star Wars Super Pack  3 in 1 (8089 8083 7749),2010,0,Star Wars
CELEBV-1,Fan Celebration V - CubeDude - The Bounty Hunter Edition,2010,497,Star Wars
8083-1,Rebel Trooper Battle Pack,2010,79,Star Wars
8129-1,AT-AT Walker,2010,814,Star Wars
8084-1,Snowtrooper Battle Pack,2010,74,Star Wars
20016-1,Imperial Shuttle - Mini,2010,70,Star Wars
