set_num,name,year,num_parts,theme
7877-1,Naboo Starfighter,2011,318,Star Wars
66396-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
7879-1,Hoth Echo Base,2011,773,Star Wars
7868-1,Mace Windu's Jedi Starfighter,2011,308,Star Wars
66377-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
66378-1,Star Wars Super Pack 3 in 1,2011,0,Star Wars
66395-1,Super Pack 3 in 1,2011,0,Star Wars
7869-1,Battle for Geonosis,2011,335,Star Wars
30053-1,Republic Attack Cruiser - Mini,2011,41,Star Wars
20019-1,Slave I,2011,76,Star Wars
30052-1,AAT,2011,46,Star Wars
30054-1,AT-ST - Mini,2011,46,Star Wars
20021-1,Bounty Hunter Gunship - Mini,2011,81,Star Wars
COMCON015-1,Star Wars Advent Calendar 2011 (San Diego Comic-Con Exclusive),2011,0,Star Wars
2856197-1,Shadow ARF Trooper,2011,5,Star Wars
30055-1,Vulture Droid - Mini,2011,42,Star Wars
5000067-1,Star Wars Sith Kit,2011,0,Star Wars
7914-1,Mandalorian Battle Pack,2011,68,Star Wars
7913-1,Clone Trooper Battle Pack,2011,85,Star Wars
7929-1,The Battle of Naboo,2011,241,Star Wars
7930-1,Bounty Hunter Gunship,2011,390,Star Wars
7931-1,Jedi T-6 Shuttle,2011,389,Star Wars
7956-1,Ewok Attack,2011,166,Star Wars
7957-1,Sith Nightspeeder,2011,214,Star Wars
7959-1,Geonosian Starfighter,2011,163,Star Wars
7961-1,Darth Maul's Sith Infiltrator,2011,479,Star Wars
7962-1,Anakin's and Sebulba's Podracers,2011,810,Star Wars
7964-1,Republic Frigate,2011,1031,Star Wars
7915-1,Imperial V-wing Starfighter,2011,139,Star Wars
7958-1,Star Wars Advent Calendar 2011,2011,267,Star Wars
7965-1,Millennium Falcon,2011,1253,Star Wars
