set_num,name,year,num_parts,theme
75020-1,Jabba’s Sail Barge,2013,850,Star Wars
75000-1,Clone Troopers vs. Droidekas,2013,124,Star Wars
75001-1,Republic Troopers vs. Sith Troopers,2013,63,Star Wars
75002-1,AT-RT,2013,222,Star Wars
75003-1,A-wing Starfighter,2013,177,Star Wars
75004-1,Z-95 Headhunter,2013,372,Star Wars
75015-1,Corporate Alliance Tank Droid,2013,277,Star Wars
75016-1,Homing Spider Droid,2013,295,Star Wars
75006-1,Jedi Starfighter & Planet Kamino,2013,61,Star Wars
75007-1,Republic Assault Ship & Planet Coruscant,2013,74,Star Wars
75008-1,TIE Bomber & Asteroid Field,2013,60,Star Wars
75009-1,Snowspeeder & Planet Hoth,2013,69,Star Wars
75010-1,B-wing Starfighter & Planet Endor,2013,83,Star Wars
75025-1,Jedi Defender-class Cruiser,2013,926,Star Wars
75017-1,Duel on Geonosis,2013,391,Star Wars
75022-1,Mandalorian Speeder,2013,211,Star Wars
75018-1,JEK-14's Stealth Starfighter,2013,550,Star Wars
75012-1,BARC Speeder with Sidecar,2013,226,Star Wars
75019-1,AT-TE,2013,793,Star Wars
75005-1,Rancor Pit,2013,381,Star Wars
75011-1,Tantive IV & Planet Alderaan,2013,102,Star Wars
75021-1,Republic Gunship,2013,1174,Star Wars
5001709-1,Clone Trooper Lieutenant,2013,5,Star Wars
30243-1,Umbaran MHC,2013,49,Star Wars
30242-1,Republic Frigate,2013,45,Star Wars
30241-1,Mandalorian Fighter,2013,49,Star Wars
30240-1,Z-95 Headhunter,2013,54,Star Wars
MAY2013-1,Holocron Droid,2013,31,Star Wars
YODACHRON-1,Yoda Chronicles Promotional Set,2013,413,Star Wars
comcon032-1,JEK-14 Mini Stealth Starfighter,2013,123,Star Wars
5001621-1,Han Solo (Hoth),2013,5,Star Wars
TRUJEK14-1,Jek-14 Stealth Fighter,2013,40,Star Wars
66473-1,Star Wars Super Pack 3 in 1,2013,0,Star Wars
66456-1,Star Wars Super Pack 3 in 1,2013,0,Star Wars
66449-1,"Star Wars Super Pack 3 in 1 (75000, 75003, 75014)",2013,0,Star Wars
75014-1,Battle Of Hoth,2013,416,Star Wars
75023-1,Star Wars Advent Calendar 2013,2013,254,Star Wars
75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,492,Star Wars
